time          Z             SDR           rho           mu            cp            T             Radiation     H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+04  9.500000e-02  5.370048e+00  1.736108e-01  5.964365e-05  1.652152e+03  1.780576e+03  0.000000e+00  3.019479e-03  1.949492e-06  1.410060e-07  2.656925e-03  8.000738e-06  1.098858e-01  2.448328e-07  1.240830e-08  4.254706e-11  9.461185e-10  6.574441e-07  2.519487e-08  6.479738e-04  3.116030e-02  3.860341e-02  9.299613e-02  1.019385e-07  6.096718e-05  6.673990e-08  1.272301e-08  9.047445e-06  3.890454e-08  4.062482e-03  1.538868e-06  1.512428e-03  3.661644e-06  2.496115e-04  1.303787e-06  6.786696e-05  8.320904e-06  1.738743e-10  2.360714e-09  3.945107e-08  7.655439e-06  7.432635e-11  1.025168e-04  1.405028e-08  8.217630e-08  5.415516e-09  5.962727e-10  4.395947e-05  9.485948e-11  6.047215e-12  4.427084e-06  4.004252e-08  1.571917e-05  5.594954e-09  7.148664e-01  0.000000e+00  1.454072e-09  3.188034e-07  6.024686e-09  3.167891e-07  1.000000e+00  
1.000000e+04  1.500000e-01  1.021912e+01  1.918794e-01  5.289002e-05  1.859266e+03  1.553430e+03  0.000000e+00  2.944753e-03  1.615745e-07  6.271657e-09  2.375933e-03  3.511529e-07  1.033064e-01  1.018096e-07  5.261593e-09  5.061144e-14  1.243910e-12  1.724248e-08  3.962712e-10  1.722870e-04  8.936075e-02  3.637151e-02  8.733214e-02  8.662170e-09  3.623514e-05  2.857540e-09  1.448937e-09  6.778627e-06  1.079981e-09  4.071672e-03  2.032161e-07  1.779710e-03  5.759370e-07  5.921775e-04  7.885318e-08  5.792046e-05  4.652383e-06  2.312466e-11  5.820625e-10  3.472665e-09  7.583637e-06  4.478195e-12  9.362507e-05  6.055070e-08  8.430542e-08  1.607167e-09  2.213694e-11  4.313738e-05  1.603672e-11  2.631943e-14  3.908580e-06  2.316326e-08  1.491926e-05  3.527583e-10  6.714215e-01  0.000000e+00  5.602018e-10  5.112536e-07  1.319661e-09  1.871265e-07  1.000000e+00  
1.000000e+04  2.500000e-01  1.898251e+01  2.191120e-01  4.413572e-05  2.177210e+03  1.278518e+03  0.000000e+00  2.600458e-03  1.072694e-08  2.430419e-10  2.091124e-03  8.507892e-09  9.115615e-02  4.615825e-08  8.513492e-09  6.630659e-17  4.933112e-16  1.910134e-10  2.069329e-12  2.880545e-05  1.964854e-01  3.209656e-02  7.705859e-02  1.043543e-09  3.084113e-05  2.603619e-10  1.526930e-10  5.901882e-06  1.067860e-11  3.594549e-03  2.419315e-08  1.584099e-03  8.444949e-08  6.354290e-04  3.912240e-09  5.221674e-05  3.877110e-06  4.811929e-12  1.873762e-10  2.968039e-10  6.709296e-06  1.679029e-13  8.243661e-05  1.998619e-07  8.053185e-08  5.380214e-10  3.683563e-13  3.810500e-05  2.001410e-12  8.165376e-17  3.425252e-06  1.949406e-08  1.318117e-05  1.671706e-11  5.924307e-01  0.000000e+00  3.580127e-10  7.289873e-07  6.340563e-10  1.633067e-07  1.000000e+00  
1.000000e+04  3.500000e-01  2.578989e+01  2.451229e-01  3.751210e-05  2.416628e+03  1.077917e+03  0.000000e+00  2.253791e-03  1.876341e-09  3.848381e-11  1.811602e-03  5.165916e-10  7.900234e-02  3.715122e-08  1.812469e-08  1.308182e-19  2.289498e-18  8.246028e-12  4.214468e-14  8.468192e-06  3.036204e-01  2.781742e-02  6.678417e-02  3.225481e-10  2.675641e-05  6.827129e-11  8.470172e-11  5.132791e-06  2.453088e-13  3.114863e-03  5.124024e-09  1.373874e-03  5.393008e-08  5.665056e-04  5.189812e-10  4.543884e-05  3.338392e-06  6.862358e-13  7.773254e-11  6.436195e-11  5.816099e-06  1.576047e-14  7.136070e-05  2.921371e-07  7.187408e-08  2.503066e-10  1.405898e-14  3.302571e-05  8.915897e-13  2.311090e-18  2.965329e-06  1.681763e-08  1.142691e-05  1.848662e-12  5.134400e-01  0.000000e+00  4.665948e-10  7.215901e-07  8.374357e-10  1.443990e-07  1.000000e+00  
1.000000e+04  4.500000e-01  2.944911e+01  2.720091e-01  3.219521e-05  2.574131e+03  9.191401e+02  0.000000e+00  1.907044e-03  5.095510e-10  1.305599e-11  1.532670e-03  5.274651e-11  6.684824e-02  3.569383e-08  1.779482e-08  3.331370e-22  8.855887e-20  1.568132e-12  2.429356e-15  3.381929e-06  4.107557e-01  2.353790e-02  5.650969e-02  1.609210e-10  2.268839e-05  1.706022e-11  1.167602e-10  4.359659e-06  7.889567e-15  2.635511e-03  1.435101e-09  1.162604e-03  6.149819e-08  4.830622e-04  1.207966e-10  3.848438e-05  2.820939e-06  7.971627e-14  3.421397e-11  2.246751e-11  4.921496e-06  2.117755e-15  6.032369e-05  3.341475e-07  6.159340e-08  1.497159e-10  7.257247e-16  2.794492e-05  1.232427e-12  3.892469e-19  2.508504e-06  1.422001e-08  9.669772e-06  3.278304e-13  4.344492e-01  0.000000e+00  9.924816e-10  6.542855e-07  2.293666e-09  1.248280e-07  1.000000e+00  
1.000000e+04  5.500000e-01  2.944911e+01  3.019563e-01  2.772450e-05  2.666141e+03  7.857303e+02  0.000000e+00  1.560302e-03  1.665650e-10  7.438610e-12  1.253909e-03  1.149832e-11  5.469406e-02  2.828479e-08  1.477278e-08  1.147934e-24  1.140575e-20  7.648617e-13  2.928366e-16  1.583147e-06  5.178910e-01  1.925830e-02  4.623520e-02  1.129420e-10  1.858537e-05  3.849114e-12  2.099734e-10  3.577768e-06  3.814202e-16  2.156281e-03  5.151305e-10  9.512338e-04  5.409654e-08  3.964028e-04  4.126493e-11  3.148737e-05  2.307102e-06  8.808491e-15  1.438467e-11  1.037448e-11  4.026710e-06  3.024269e-16  4.931898e-05  3.288352e-07  5.068154e-08  1.195122e-10  4.549758e-17  2.286403e-05  3.521046e-12  1.214308e-19  2.052302e-06  1.163287e-08  7.911882e-06  7.950340e-14  3.554584e-01  0.000000e+00  3.374950e-09  5.554336e-07  8.242215e-09  1.039941e-07  1.000000e+00  
1.000000e+04  6.500000e-01  2.578989e+01  3.377896e-01  2.380973e-05  2.684736e+03  6.682762e+02  0.000000e+00  1.213566e-03  5.332624e-11  5.026326e-12  9.752239e-04  5.505687e-12  4.253985e-02  1.801842e-08  1.150032e-08  1.653247e-26  1.953389e-21  4.897138e-13  4.498864e-17  7.960469e-07  6.250263e-01  1.497869e-02  3.596072e-02  8.175712e-11  1.446282e-05  8.325788e-13  4.150133e-10  2.788711e-06  3.312027e-17  1.677094e-03  1.791547e-10  7.398496e-04  3.851383e-08  3.087459e-04  1.712141e-11  2.448524e-05  1.794167e-06  1.020113e-15  4.994558e-12  5.773676e-12  3.131891e-06  3.485374e-17  3.833890e-05  2.865601e-07  3.951128e-08  1.071127e-10  4.549888e-18  1.778313e-05  1.487537e-11  3.852483e-20  1.596231e-06  9.047524e-09  6.153759e-06  2.224810e-14  2.764677e-01  0.000000e+00  9.161992e-09  4.407290e-07  1.037245e-08  8.148016e-08  1.000000e+00  
1.000000e+04  7.500000e-01  1.898251e+01  3.843162e-01  2.022252e-05  2.621419e+03  5.601743e+02  0.000000e+00  8.668325e-04  1.279027e-11  2.824805e-12  6.965752e-04  3.148787e-12  3.038561e-02  8.999869e-09  8.215128e-09  5.545013e-28  2.001451e-22  2.451837e-13  4.895345e-18  4.006997e-07  7.321616e-01  1.069907e-02  2.568623e-02  4.110577e-11  1.033256e-05  1.412000e-13  6.863489e-10  1.994324e-06  2.494581e-18  1.197922e-03  4.228439e-11  5.284652e-04  2.395851e-08  2.207025e-04  6.120132e-12  1.748773e-05  1.281496e-06  1.131985e-16  1.240237e-12  3.531867e-12  2.237066e-06  2.173821e-18  2.737539e-05  2.192241e-07  2.824519e-08  8.517745e-11  4.707900e-19  1.270222e-05  3.034235e-11  7.254093e-21  1.140173e-06  6.462487e-09  4.395559e-06  5.417284e-15  1.974769e-01  0.000000e+00  8.475542e-09  3.183975e-07  7.249533e-09  5.829323e-08  1.000000e+00  
1.000000e+04  8.500000e-01  1.021912e+01  4.509359e-01  1.679003e-05  2.484130e+03  4.562877e+02  0.000000e+00  5.200994e-04  1.630923e-12  9.275763e-13  4.179415e-04  1.608575e-12  1.823137e-02  3.278739e-09  4.929222e-09  3.967758e-30  5.780949e-24  6.416019e-14  4.013031e-19  1.803257e-07  8.392970e-01  6.419443e-03  1.541174e-02  1.550872e-11  6.200033e-06  1.323926e-14  7.243191e-10  1.197084e-06  7.450997e-20  7.187530e-04  4.553050e-12  3.170798e-04  1.282814e-08  1.324831e-04  1.252683e-12  1.049230e-05  7.688905e-07  9.999983e-18  1.749664e-13  2.029159e-12  1.342240e-06  3.889384e-20  1.642169e-05  1.369450e-07  1.695067e-08  5.321120e-11  1.981387e-20  7.621324e-06  2.378607e-11  4.233639e-22  6.841066e-07  3.877491e-09  2.637338e-06  8.921959e-16  1.184861e-01  0.000000e+00  5.222964e-09  1.923930e-07  3.573955e-09  3.498263e-08  1.000000e+00  
1.000000e+04  9.500000e-01  1.999528e+00  5.586198e-01  1.329749e-05  2.308006e+03  3.527202e+02  0.000000e+00  1.733665e-04  6.580431e-14  9.378269e-14  1.393132e-04  3.921991e-13  6.077125e-03  5.684668e-10  1.643099e-09  1.086352e-29  1.454436e-26  4.557846e-15  1.512627e-20  4.656282e-08  9.464323e-01  2.139815e-03  5.137246e-03  3.904045e-12  2.066779e-06  5.853459e-16  3.291045e-10  3.990539e-07  2.167032e-22  2.395843e-04  1.169036e-13  1.056934e-04  3.999050e-09  4.417492e-05  7.970288e-14  3.497409e-06  2.562965e-07  4.653175e-19  6.503835e-15  6.741116e-13  4.474133e-07  4.886786e-23  5.473162e-06  4.677456e-08  5.650392e-09  1.793540e-11  1.137198e-22  2.540441e-06  8.354101e-12  3.226867e-24  2.280358e-07  1.292497e-09  8.791131e-07  5.958557e-17  3.949539e-02  0.000000e+00  1.718515e-09  6.445980e-08  9.130902e-10  1.166097e-08  1.000000e+00  
1.000000e+04  1.000000e+00  0.000000e+00  6.431597e-01  1.146013e-05  2.229101e+03  3.000000e+02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.000000e+00  
