int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  8.150000e-03  1.096743e-01  -1.299994e+00  4.238333e+00  2.445156e+03  8.369891e-02  3.472492e-03  2.817334e-01  2.075868e-02  2.259223e-03  1.360316e-02  8.776435e-07  3.442624e-07  5.944729e-01  1.000000e+00  
1.000000e+04  8.250000e-03  1.126810e-01  -1.282491e+00  4.169049e+00  2.421861e+03  6.862118e-02  5.779492e-03  2.809172e-01  2.015996e-02  3.095999e-03  1.564223e-02  1.276983e-06  4.980470e-07  6.057821e-01  1.000000e+00  
1.000000e+04  8.350000e-03  1.161105e-01  -1.261771e+00  4.100142e+00  2.391069e+03  5.514058e-02  9.524628e-03  2.776493e-01  1.908645e-02  4.134140e-03  1.757491e-02  1.839643e-06  7.105821e-07  6.168874e-01  1.000000e+00  
1.000000e+04  8.500000e-03  1.219763e-01  -1.226720e+00  3.999646e+00  2.333739e+03  3.837843e-02  1.796673e-02  2.685678e-01  1.657244e-02  5.819826e-03  1.967666e-02  2.910991e-06  1.127341e-06  6.330140e-01  1.000000e+00  
1.000000e+04  8.700000e-03  1.325607e-01  -1.162939e+00  3.860567e+00  2.218456e+03  2.261490e-02  3.622300e-02  2.480873e-01  1.232363e-02  7.495124e-03  1.957000e-02  4.782510e-06  1.859777e-06  6.536794e-01  1.000000e+00  
1.000000e+04  8.900000e-03  1.477480e-01  -1.078245e+00  3.718983e+00  2.055028e+03  1.238098e-02  6.136389e-02  2.204234e-01  8.066178e-03  7.694998e-03  1.609066e-02  7.216917e-06  2.786117e-06  6.739699e-01  1.000000e+00  
1.000000e+04  9.150000e-03  1.752929e-01  -9.533679e-01  3.538596e+00  1.797024e+03  4.950134e-03  9.682137e-02  1.808892e-01  3.730299e-03  5.651148e-03  9.305396e-03  1.133893e-05  3.755243e-06  6.986374e-01  1.000000e+00  
1.000000e+04  9.400000e-03  2.255417e-01  -7.869424e-01  3.332167e+00  1.441947e+03  1.788063e-03  1.333594e-01  1.353332e-01  1.358477e-03  2.779002e-03  3.189711e-03  2.052966e-05  3.338432e-06  7.221683e-01  1.000000e+00  
1.000000e+04  9.600000e-03  2.985132e-01  -6.331823e-01  3.155480e+00  1.113346e+03  9.843398e-04  1.600385e-01  9.665114e-02  3.298180e-04  7.951999e-04  7.286869e-04  3.710274e-05  4.053257e-06  7.404312e-01  1.000000e+00  
1.000000e+04  9.850000e-03  4.586608e-01  -4.596918e-01  2.903345e+00  7.386589e+02  7.100952e-04  1.836726e-01  5.566030e-02  1.187884e-05  5.303299e-05  8.140443e-05  5.015068e-05  1.374523e-05  7.597468e-01  1.000000e+00  
1.000000e+04  1.025000e-02  8.142587e-01  -3.289899e-01  2.437858e+00  4.227715e+02  4.054195e-04  2.019985e-01  1.857814e-02  1.628731e-08  5.444166e-08  5.512657e-06  8.507676e-06  7.293078e-06  7.789965e-01  1.000000e+00  
1.000000e+04  1.075000e-02  1.091010e+00  -3.288079e-01  1.951479e+00  3.176247e+02  1.470806e-04  2.088169e-01  2.952678e-03  1.182645e-11  1.765032e-11  6.240840e-07  8.413047e-07  1.124624e-06  7.880807e-01  1.000000e+00  
1.000000e+04  1.140000e-02  1.151096e+00  -4.099454e-01  1.642555e+00  3.014037e+02  3.341200e-05  2.099041e-01  2.465738e-04  1.160842e-13  5.105343e-13  6.154600e-08  5.985425e-08  8.487277e-08  7.898157e-01  1.000000e+00  
1.000000e+04  1.215000e-02  1.156313e+00  -5.025452e-01  1.356296e+00  3.000793e+02  5.700305e-06  2.099940e-01  1.452593e-05  1.479071e-15  3.641967e-14  4.791039e-09  3.139364e-09  4.433712e-09  7.899858e-01  1.000000e+00  
1.000000e+04  1.275000e-02  1.156611e+00  -5.665480e-01  1.255095e+00  3.000049e+02  1.063114e-06  2.099995e-01  9.425109e-07  2.376225e-17  3.134237e-15  4.128293e-10  1.817031e-10  2.549301e-10  7.899985e-01  1.000000e+00  
1.000000e+04  1.325000e-02  1.156630e+00  -6.147189e-01  1.145442e+00  3.000003e+02  2.157542e-07  2.099999e-01  6.724944e-08  4.562052e-19  3.001513e-16  3.906065e-11  1.157070e-11  1.612767e-11  7.899998e-01  1.000000e+00  
1.000000e+04  1.375000e-02  1.156631e+00  -6.585530e-01  1.081263e+00  3.000000e+02  4.153339e-08  2.100000e-01  4.504301e-09  7.822002e-21  2.715949e-17  3.475893e-12  6.912002e-13  9.571402e-13  7.900000e-01  1.000000e+00  
1.000000e+04  1.425000e-02  1.156631e+00  -6.988073e-01  1.002218e+00  3.000000e+02  7.633509e-09  2.100000e-01  2.856062e-10  1.213993e-22  2.332043e-18  2.932561e-13  3.906875e-14  5.374736e-14  7.900000e-01  1.000000e+00  
1.000000e+04  1.475000e-02  1.156631e+00  -7.358013e-01  9.508544e-01  3.000000e+02  1.346796e-09  2.100000e-01  1.726269e-11  1.726190e-24  1.911463e-19  2.361363e-14  2.104170e-15  2.875790e-15  7.900000e-01  1.000000e+00  
1.000000e+04  1.525000e-02  1.156631e+00  -7.699727e-01  8.893096e-01  3.000000e+02  2.291272e-10  2.100000e-01  1.000166e-12  2.271002e-26  1.503499e-20  1.824526e-15  1.085950e-16  1.474443e-16  7.900000e-01  1.000000e+00  
1.000000e+04  1.575000e-02  1.156631e+00  -8.015219e-01  8.459662e-01  3.000000e+02  3.773408e-11  2.100000e-01  5.581132e-14  2.787931e-28  1.140081e-21  1.358955e-16  5.396398e-18  7.278753e-18  7.900000e-01  1.000000e+00  
1.000000e+04  1.625000e-02  1.156631e+00  -8.307259e-01  7.955046e-01  3.000000e+02  6.035845e-12  2.100000e-01  3.011655e-15  3.217113e-30  8.366773e-23  9.795491e-18  2.592546e-19  3.473833e-19  7.900000e-01  1.000000e+00  
1.000000e+04  1.700000e-02  1.156631e+00  -8.709744e-01  7.510983e-01  3.000000e+02  6.525156e-13  2.100000e-01  1.054259e-16  1.632725e-32  4.013170e-24  4.612523e-19  8.062442e-21  1.073069e-20  7.900000e-01  1.000000e+00  
1.000000e+04  1.775000e-02  1.156631e+00  -9.058398e-01  6.519550e-01  3.000000e+02  6.815267e-14  2.100000e-01  3.554342e-18  7.866686e-35  1.854823e-25  2.092761e-20  2.414251e-22  3.191666e-22  7.900000e-01  1.000000e+00  
1.000000e+04  1.825000e-02  1.156631e+00  -9.270017e-01  6.678272e-01  3.000000e+02  9.953403e-15  2.100000e-01  1.729466e-19  4.341173e-37  1.230275e-26  1.363175e-21  1.045173e-23  1.372579e-23  7.900000e-01  1.000000e+00  
1.000000e+04  1.875000e-02  1.156631e+00  -9.466338e-01  5.907665e-01  3.000000e+02  1.428393e-15  2.100000e-01  8.249843e-21  2.005131e-40  8.003310e-28  8.708421e-23  4.435317e-25  5.786093e-25  7.900000e-01  1.000000e+00  
1.000000e+04  1.925000e-02  1.156631e+00  -9.644905e-01  5.968099e-01  3.000000e+02  2.018342e-16  2.100000e-01  3.866256e-22  2.218610e-41  5.117088e-29  5.467662e-24  1.848959e-26  2.396058e-26  7.900000e-01  1.000000e+00  
1.000000e+04  1.975000e-02  1.156631e+00  -9.809164e-01  5.335348e-01  3.000000e+02  2.816597e-17  2.100000e-01  1.784267e-23  9.282620e-43  3.223603e-30  3.382310e-25  7.589003e-28  9.769233e-28  7.900000e-01  1.000000e+00  
1.000000e+04  2.000000e-02  1.156631e+00  -1.000000e+00  1.000000e+00  3.000000e+02  0.000000e+00  2.100000e-01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  7.900000e-01  1.000000e+00  
