t,x,Weight,Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),pah
0.01,0.75,1.70898e+08,1.10606,1.10606,1.10606,3.84334e-14,7.08497e-22,1.27529e-21,0.00995231,64
0.01,0.75,1.70898e+08,1.10606,1.10606,1.10606,3.84334e-14,7.08497e-22,1.27529e-21,0.00995194,64
0.01,0.75,1.70898e+08,1.10606,1.10606,1.10606,3.84334e-14,7.08497e-22,1.27529e-21,0.00994164,64
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00992395,32
0.01,0.75,1.70898e+08,1.10606,1.10606,1.10606,3.84334e-14,7.08497e-22,1.27529e-21,0.00989275,64
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00988704,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.0098438,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00984074,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.0098351,32
0.01,0.75,1.70898e+08,1.00492,1.00492,1.00492,3.17261e-14,5.31372e-22,9.5647e-22,0.00982901,48
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00982109,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00979326,32
0.01,0.75,1.70898e+08,1.26613,1.26613,1.26613,5.0362e-14,1.06274e-21,1.91294e-21,0.00968211,96
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00958584,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.0095541,32
0.01,0.75,1.70898e+08,1.10606,1.10606,1.10606,3.84334e-14,7.08497e-22,1.27529e-21,0.00948471,64
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00944571,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00944155,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00943038,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00931428,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00131078,32
0.01,0.75,1.70898e+08,1.00492,1.00492,1.00492,3.17261e-14,5.31372e-22,9.5647e-22,0.00919253,48
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.0090302,32
0.01,0.75,1.70898e+08,1.39355,1.39355,1.39355,6.10092e-14,1.41699e-21,2.55059e-21,0.00902264,128
0.01,0.75,1.70898e+08,1.00492,1.00492,1.00492,3.17261e-14,5.31372e-22,9.5647e-22,0.00895697,48
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00523507,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00887652,32
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.00884784,32
0.01,0.75,1.70898e+08,1.19147,1.19147,1.19147,4.4598e-14,8.85621e-22,1.59412e-21,0.00882232,80
0.01,0.75,1.70898e+08,0.877882,0.877882,0.877882,2.42115e-14,3.54248e-22,6.37647e-22,0.0088199,32
