x             rho           u             mdot          tau           T             O2            NO            NO2           N2            O             sumfracs      
2.370873e-03  3.299080e-01  9.903839e-02  3.267356e-02  2.384732e-02  1.056430e+03  6.650198e-03  1.247212e-02  8.087768e-02  9.000000e-01  8.143953e-12  1.000000e+00  
2.663275e-03  3.300883e-01  9.898430e-02  3.267356e-02  2.680056e-02  1.055281e+03  7.248812e-03  1.359480e-02  7.915639e-02  9.000000e-01  7.886797e-12  1.000000e+00  
2.955676e-03  3.302396e-01  9.893893e-02  3.267356e-02  2.975528e-02  1.054256e+03  7.815927e-03  1.465839e-02  7.752568e-02  9.000000e-01  7.665909e-12  1.000000e+00  
3.248078e-03  3.303649e-01  9.890142e-02  3.267356e-02  3.271123e-02  1.053343e+03  8.354549e-03  1.566855e-02  7.597690e-02  9.000000e-01  7.476267e-12  1.000000e+00  
3.740193e-03  3.305237e-01  9.885391e-02  3.267356e-02  3.768831e-02  1.052029e+03  9.203865e-03  1.726140e-02  7.353473e-02  9.000000e-01  7.214829e-12  1.000000e+00  
4.232308e-03  3.306255e-01  9.882346e-02  3.267356e-02  4.266733e-02  1.050958e+03  9.990120e-03  1.873599e-02  7.127389e-02  9.000000e-01  7.012689e-12  1.000000e+00  
4.724423e-03  3.306785e-01  9.880761e-02  3.267356e-02  4.764751e-02  1.050096e+03  1.072155e-02  2.010775e-02  6.917069e-02  9.000000e-01  6.860226e-12  1.000000e+00  
5.216537e-03  3.306898e-01  9.880425e-02  3.267356e-02  5.262818e-02  1.049413e+03  1.140498e-02  2.138950e-02  6.720552e-02  9.000000e-01  6.749050e-12  1.000000e+00  
5.708652e-03  3.306652e-01  9.881160e-02  3.267356e-02  5.760874e-02  1.048885e+03  1.204611e-02  2.259189e-02  6.536200e-02  9.000000e-01  6.668881e-12  1.000000e+00  
6.200767e-03  3.306098e-01  9.882814e-02  3.267356e-02  6.258869e-02  1.048490e+03  1.264964e-02  2.372379e-02  6.362658e-02  9.000000e-01  6.612613e-12  1.000000e+00  
6.943613e-03  3.304774e-01  9.886774e-02  3.267356e-02  7.010382e-02  1.048110e+03  1.349810e-02  2.531504e-02  6.118686e-02  9.000000e-01  6.577631e-12  1.000000e+00  
7.686460e-03  3.302969e-01  9.892179e-02  3.267356e-02  7.761537e-02  1.047944e+03  1.428078e-02  2.678291e-02  5.893630e-02  9.000000e-01  6.600679e-12  1.000000e+00  
8.429306e-03  3.300782e-01  9.898733e-02  3.267356e-02  8.512236e-02  1.047955e+03  1.500632e-02  2.814364e-02  5.685004e-02  9.000000e-01  6.648496e-12  1.000000e+00  
9.172152e-03  3.298300e-01  9.906182e-02  3.267356e-02  9.262403e-02  1.048107e+03  1.568189e-02  2.941063e-02  5.490748e-02  9.000000e-01  6.681900e-12  1.000000e+00  
9.914998e-03  3.295594e-01  9.914315e-02  3.267356e-02  1.001198e-01  1.048373e+03  1.631342e-02  3.059503e-02  5.309155e-02  9.000000e-01  6.733964e-12  1.000000e+00  
1.065784e-02  3.292722e-01  9.922963e-02  3.267356e-02  1.076092e-01  1.048730e+03  1.690575e-02  3.170591e-02  5.138835e-02  9.000000e-01  6.912563e-12  1.000000e+00  
1.185844e-02  3.287846e-01  9.937679e-02  3.267356e-02  1.196995e-01  1.049452e+03  1.779028e-02  3.336481e-02  4.884490e-02  9.000000e-01  7.341856e-12  1.000000e+00  
1.305904e-02  3.282811e-01  9.952919e-02  3.267356e-02  1.317715e-01  1.050302e+03  1.859646e-02  3.487675e-02  4.652679e-02  9.000000e-01  7.578516e-12  1.000000e+00  
1.425964e-02  3.277728e-01  9.968356e-02  3.267356e-02  1.438249e-01  1.051236e+03  1.933457e-02  3.626105e-02  4.440438e-02  9.000000e-01  7.409883e-12  1.000000e+00  
1.546024e-02  3.272681e-01  9.983729e-02  3.267356e-02  1.558597e-01  1.052218e+03  2.001326e-02  3.753390e-02  4.245284e-02  9.000000e-01  7.330149e-12  1.000000e+00  
1.666084e-02  3.267739e-01  9.998827e-02  3.267356e-02  1.678761e-01  1.053219e+03  2.064002e-02  3.870935e-02  4.065064e-02  9.000000e-01  8.446962e-12  1.000000e+00  
1.786144e-02  3.262949e-01  1.001350e-01  3.267356e-02  1.798746e-01  1.054217e+03  2.122093e-02  3.979882e-02  3.898025e-02  9.000000e-01  1.096681e-11  1.000000e+00  
