int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  8.150000e-03  9.939675e-01  -3.017043e-01  1.658723e+00  3.479628e+02  4.243439e-04  2.071963e-01  7.141870e-03  2.198755e-10  2.871997e-10  2.306488e-06  3.533958e-06  4.353775e-06  7.852273e-01  1.000000e+00  
1.000000e+04  8.250000e-03  1.073402e+00  -2.886143e-01  1.622322e+00  3.227168e+02  3.179706e-04  2.086644e-01  3.501780e-03  3.557067e-11  3.259873e-11  1.071692e-06  1.437594e-06  2.036311e-06  7.875113e-01  1.000000e+00  
1.000000e+04  8.350000e-03  1.117129e+00  -2.864146e-01  1.587425e+00  3.103396e+02  2.339391e-04  2.093833e-01  1.641318e-03  8.976271e-12  7.624165e-12  5.231866e-07  5.959510e-07  9.022259e-07  7.887394e-01  1.000000e+00  
1.000000e+04  8.500000e-03  1.142727e+00  -2.933873e-01  1.540263e+00  3.035392e+02  1.486425e-04  2.097789e-01  5.798397e-04  1.812914e-12  1.934228e-12  2.035607e-07  1.878399e-07  2.973746e-07  7.894920e-01  1.000000e+00  
1.000000e+04  8.700000e-03  1.152836e+00  -3.082692e-01  1.478321e+00  3.009459e+02  8.193017e-05  2.099333e-01  1.601869e-04  3.048103e-13  5.389346e-13  6.706702e-08  4.726243e-08  7.530375e-08  7.898244e-01  1.000000e+00  
1.000000e+04  8.900000e-03  1.155630e+00  -3.245469e-01  1.425989e+00  3.002426e+02  4.411444e-05  2.099784e-01  4.245367e-05  5.214551e-14  1.670067e-13  2.176034e-08  1.148371e-08  1.819470e-08  7.899350e-01  1.000000e+00  
1.000000e+04  9.150000e-03  1.156412e+00  -3.450637e-01  1.368121e+00  3.000500e+02  2.067175e-05  2.099932e-01  9.060655e-06  6.495081e-15  4.412034e-14  5.821450e-09  2.237857e-09  3.512401e-09  7.899771e-01  1.000000e+00  
1.000000e+04  9.400000e-03  1.156582e+00  -3.651725e-01  1.310125e+00  3.000099e+02  9.420091e-06  2.099975e-01  1.850718e-06  7.638305e-16  1.136711e-14  1.501712e-09  4.157624e-10  6.473150e-10  7.899912e-01  1.000000e+00  
1.000000e+04  9.600000e-03  1.156617e+00  -3.809198e-01  1.275667e+00  3.000022e+02  4.726776e-06  2.099989e-01  4.357709e-07  1.128827e-16  3.358699e-15  4.424528e-10  8.927506e-11  1.380017e-10  7.899959e-01  1.000000e+00  
1.000000e+04  9.850000e-03  1.156627e+00  -4.002202e-01  1.231271e+00  3.000004e+02  2.056541e-06  2.099996e-01  8.287706e-08  1.186354e-17  8.172051e-16  1.069518e-10  1.539593e-11  2.362612e-11  7.899983e-01  1.000000e+00  
1.000000e+04  1.025000e-02  1.156630e+00  -4.302537e-01  1.169238e+00  3.000000e+02  6.382793e-07  2.099999e-01  9.970879e-09  5.767053e-19  1.295910e-16  1.675689e-11  1.664946e-12  2.536398e-12  7.899995e-01  1.000000e+00  
1.000000e+04  1.075000e-02  1.156631e+00  -4.664363e-01  1.095231e+00  3.000000e+02  1.596982e-07  2.100000e-01  9.153323e-10  1.745090e-20  1.590906e-17  2.024265e-12  1.368032e-13  2.070360e-13  7.899999e-01  1.000000e+00  
1.000000e+04  1.140000e-02  1.156631e+00  -5.116392e-01  1.028108e+00  3.000000e+02  3.038777e-08  2.100000e-01  6.066251e-11  2.921845e-22  1.425085e-18  1.781963e-13  8.087980e-15  1.217045e-14  7.900000e-01  1.000000e+00  
1.000000e+04  1.215000e-02  1.156631e+00  -5.614605e-01  9.394983e-01  3.000000e+02  4.769322e-09  2.100000e-01  3.223024e-12  3.258815e-24  1.028907e-19  1.263733e-14  3.826581e-16  5.732062e-16  7.900000e-01  1.000000e+00  
