time          Z             rho           T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+04  4.750000e-02  1.745203e-01  1.910697e+03  9.379074e-04  1.743553e-04  3.617340e-04  2.877695e-02  2.546441e-03  1.618812e-01  1.779826e-06  1.046938e-07  1.867772e-17  6.070242e-16  2.235140e-14  1.041360e-15  1.379643e-13  1.683821e-13  2.289854e-03  7.980033e-02  1.498326e-10  9.067135e-13  7.209504e-16  8.243275e-17  4.266310e-15  2.417051e-15  1.064761e-12  1.478612e-17  7.882864e-17  2.272263e-21  4.297936e-21  1.289577e-13  3.091342e-13  1.614935e-13  5.782857e-10  3.154510e-10  4.313007e-11  8.381691e-11  2.804806e-10  2.079769e-04  1.250759e-07  6.624203e-07  4.343022e-09  5.428042e-13  3.939119e-10  1.363443e-16  6.632432e-19  3.813235e-12  1.319865e-11  4.224699e-10  2.269873e-11  7.230206e-01  0.000000e+00  3.185265e-27  3.525994e-26  2.581365e-18  2.083677e-19  1.000000e+00  
1.000000e+04  5.250000e-02  1.632728e-01  2.025914e+03  3.070831e-03  6.092222e-04  5.306879e-04  1.367309e-02  3.639122e-03  1.748090e-01  1.558188e-06  9.906535e-08  6.140863e-14  4.111357e-13  5.759110e-12  3.270924e-13  2.741899e-11  2.390478e-11  7.203214e-03  8.279919e-02  1.316495e-09  2.862280e-11  2.104541e-13  1.444679e-14  4.741769e-13  5.282036e-13  1.377626e-10  4.108193e-15  1.398193e-14  1.279025e-18  3.293696e-18  1.979641e-11  2.462914e-11  7.433147e-12  2.865619e-09  1.144222e-09  2.998851e-10  5.373929e-10  1.044579e-09  2.257401e-04  5.961631e-08  4.865874e-07  7.617747e-09  1.557887e-11  6.121115e-09  4.921042e-15  2.965204e-16  3.845641e-11  9.645962e-11  3.102559e-09  2.188483e-10  7.134377e-01  0.000000e+00  5.863056e-24  2.803679e-23  3.921824e-16  3.347980e-17  1.000000e+00  
1.000000e+04  5.750000e-02  1.569797e-01  2.080651e+03  8.510173e-03  1.408413e-03  4.193150e-04  4.134456e-03  3.504922e-03  1.837033e-01  8.725443e-07  7.249137e-08  8.986364e-11  1.468413e-10  1.202463e-09  7.600323e-11  6.559542e-09  5.115405e-09  1.819058e-02  7.914449e-02  7.188202e-09  3.294202e-09  4.822618e-11  2.330293e-12  6.889956e-11  1.115841e-10  2.845351e-08  1.511343e-12  4.202002e-12  1.454391e-15  4.759620e-15  2.330706e-09  2.461376e-09  6.017877e-10  7.605456e-09  3.712357e-09  3.988003e-09  8.933311e-09  2.452670e-09  2.341756e-04  2.399576e-08  2.589710e-07  1.199432e-08  4.534980e-10  1.521195e-07  2.365011e-13  8.603383e-14  9.224644e-10  1.059879e-09  3.288497e-08  2.374858e-09  7.007487e-01  0.000000e+00  1.186359e-20  4.225081e-20  6.888461e-14  7.661354e-15  1.000000e+00  
1.000000e+04  6.250000e-02  1.547374e-01  2.074965e+03  1.902357e-02  1.721141e-03  1.265708e-04  6.294601e-04  1.932678e-03  1.871440e-01  2.151131e-07  3.045194e-08  1.945370e-08  1.193542e-08  1.037051e-07  6.278593e-09  1.047635e-06  1.041743e-06  3.432129e-02  6.966513e-02  2.944092e-08  2.550467e-07  4.269821e-09  1.625370e-10  7.169000e-09  1.040524e-08  4.860830e-06  3.316003e-10  1.424632e-09  2.581915e-12  8.511538e-12  1.167416e-07  1.816264e-07  4.366830e-08  3.150203e-08  2.235535e-08  6.923525e-08  2.891168e-07  2.922860e-09  2.278059e-04  7.486261e-09  7.711115e-08  1.973349e-08  6.525017e-09  3.317980e-06  6.419216e-12  7.022405e-12  2.693721e-08  1.028805e-08  3.322603e-07  1.397117e-08  6.851961e-01  0.000000e+00  1.918306e-17  8.521582e-17  6.311411e-12  1.662186e-12  1.000000e+00  
1.000000e+04  6.750000e-02  1.545495e-01  2.039681e+03  3.372968e-02  7.394543e-04  6.841140e-06  5.617584e-05  4.371398e-04  1.856853e-01  1.269805e-08  3.214088e-09  5.547057e-08  4.158301e-08  1.007774e-06  5.156891e-08  3.771273e-05  9.890535e-05  4.977404e-02  5.979347e-02  7.068323e-08  3.423696e-06  3.806862e-08  1.223243e-09  1.833027e-07  1.236956e-07  2.647495e-04  1.217380e-08  2.937504e-07  2.225762e-09  8.344912e-09  6.981795e-07  3.538612e-06  1.170046e-06  6.281245e-08  5.726573e-08  4.422573e-07  6.910991e-06  1.201918e-09  1.907238e-04  1.761763e-09  1.423006e-08  3.037733e-08  1.289723e-08  2.665922e-05  2.485610e-11  2.814948e-11  3.065458e-07  4.194869e-08  1.998309e-06  1.594878e-08  6.691385e-01  0.000000e+00  2.127327e-14  1.468398e-13  6.302299e-11  1.304796e-10  1.000000e+00  
1.000000e+04  7.250000e-02  1.557044e-01  1.991650e+03  4.741274e-02  3.299660e-04  5.486866e-07  8.241341e-06  1.245775e-04  1.821255e-01  1.226186e-09  3.959191e-10  9.710677e-09  1.525916e-08  9.778845e-07  4.514868e-08  1.087225e-04  8.092193e-04  5.966917e-02  5.302293e-02  4.556327e-08  5.402613e-06  3.471802e-08  1.006347e-09  4.340040e-07  1.780339e-07  1.408842e-03  4.492100e-08  3.606185e-06  1.987143e-08  1.412228e-07  4.991557e-07  7.597789e-06  3.694052e-06  1.895209e-08  3.461585e-08  4.766154e-07  2.308506e-05  5.092809e-10  1.421009e-04  5.662691e-10  6.438122e-09  1.974371e-08  7.290312e-09  5.312961e-05  2.600380e-11  1.234342e-11  4.002802e-07  5.042391e-08  3.227823e-06  7.216482e-09  6.547342e-01  0.000000e+00  4.468123e-13  7.616462e-12  7.535986e-11  2.756121e-10  1.000000e+00  
1.000000e+04  7.750000e-02  1.572318e-01  1.944122e+03  5.942121e-02  2.452152e-04  1.527654e-07  1.574344e-06  6.603380e-05  1.784937e-01  2.583709e-10  1.391892e-10  3.996788e-09  8.768447e-09  8.723581e-07  3.780058e-08  1.649301e-04  2.039154e-03  6.616223e-02  4.823261e-02  3.709480e-08  5.910958e-06  3.082883e-08  8.588482e-10  6.117068e-07  1.912813e-07  3.018460e-03  9.455426e-08  1.177861e-05  4.926719e-08  5.690149e-07  3.815713e-07  1.086713e-05  5.250826e-06  9.697369e-09  2.698639e-08  4.378375e-07  3.648900e-05  3.594724e-10  1.037012e-04  2.354500e-10  4.990178e-09  1.455462e-08  5.341692e-09  7.378989e-05  3.176089e-11  8.409349e-12  3.278999e-07  4.668539e-08  3.467751e-06  4.347872e-09  6.418997e-01  0.000000e+00  1.645127e-12  5.012579e-11  1.000065e-10  3.716788e-10  1.000000e+00  
1.000000e+04  8.250000e-02  1.588330e-01  1.900830e+03  6.967026e-02  1.955259e-04  5.768208e-08  3.735381e-07  4.038072e-05  1.752278e-01  7.280861e-11  6.706730e-11  1.935389e-09  5.377889e-09  7.514564e-07  3.089880e-08  2.148034e-04  3.890046e-03  7.021858e-02  4.484920e-02  3.098123e-08  6.028763e-06  2.706812e-08  7.414381e-10  7.726965e-07  1.784477e-07  4.859957e-03  1.591225e-07  2.781369e-05  9.102741e-08  1.614310e-06  2.971873e-07  1.347772e-05  6.051130e-06  5.323353e-09  2.054273e-08  3.698928e-07  4.630960e-05  2.731228e-10  7.580547e-05  1.091337e-10  3.894164e-09  1.050019e-08  3.893112e-09  8.843049e-05  3.563342e-11  6.065935e-12  2.481876e-07  4.012888e-08  3.314736e-06  2.707882e-09  6.305611e-01  0.000000e+00  4.182975e-12  2.020683e-10  1.228145e-10  4.848423e-10  1.000000e+00  
1.000000e+04  8.750000e-02  1.603767e-01  1.863024e+03  7.796810e-02  1.547190e-04  2.437786e-08  1.087446e-07  2.592389e-05  1.723889e-01  2.463790e-11  3.575145e-11  9.183315e-10  3.192586e-09  6.178229e-07  2.428143e-08  2.580135e-04  6.593300e-03  7.248851e-02  4.250843e-02  2.526222e-08  5.978223e-06  2.290863e-08  6.225286e-10  9.176550e-07  1.500080e-07  6.687848e-03  2.283502e-07  5.590115e-05  1.432519e-07  3.733607e-06  2.240796e-07  1.504616e-05  6.343783e-06  2.832518e-09  1.462084e-08  2.928779e-07  5.288119e-05  2.068718e-10  5.672411e-05  5.579052e-11  2.869981e-09  7.235583e-09  2.755521e-09  9.804803e-05  3.618182e-11  4.179616e-12  1.865178e-07  3.393504e-08  3.045976e-06  1.697039e-09  6.206255e-01  0.000000e+00  8.724964e-12  6.144099e-10  1.325188e-10  6.014855e-10  1.000000e+00  
1.000000e+04  9.250000e-02  1.617319e-01  1.831923e+03  8.408714e-02  1.234998e-04  1.174604e-08  3.875945e-08  1.765486e-05  1.699651e-01  9.929976e-12  2.083913e-11  4.592136e-10  1.969245e-09  5.161210e-07  1.958931e-08  3.021689e-04  1.042561e-02  7.347238e-02  4.095826e-02  2.109461e-08  6.033707e-06  1.982801e-08  5.370218e-10  1.072561e-06  1.208175e-07  8.248955e-03  3.025549e-07  1.030733e-04  2.126559e-07  7.692655e-06  1.694630e-07  1.573652e-05  6.326825e-06  1.542904e-09  1.030579e-08  2.285973e-07  5.670572e-05  1.590087e-10  4.468168e-05  3.236750e-11  2.117170e-09  5.023725e-09  1.976848e-09  1.037407e-04  3.461335e-11  2.928492e-12  1.474209e-07  2.906643e-08  2.802494e-06  1.121428e-09  6.120495e-01  0.000000e+00  1.704220e-11  1.609934e-09  1.315020e-10  7.121964e-10  1.000000e+00  
