time          Z             SDR           rho           T             Radiation     H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+03  3.125000e-01  1.002695e+02  4.266046e-02  1.621417e+03  1.803537e+05  8.338577e-01  1.994464e-11  5.755980e-02  3.126524e-04  2.777056e-10  8.988846e-07  8.367923e-15  3.379843e-13  1.082689e-01  1.000000e+00  
1.000000e+03  3.375000e-01  1.067997e+02  4.121590e-02  1.572329e+03  1.544159e+05  8.500413e-01  1.040772e-11  5.196641e-02  2.443599e-04  1.299409e-10  5.379381e-07  4.103198e-15  2.000055e-13  9.774735e-02  1.000000e+00  
1.000000e+03  3.625000e-01  1.125066e+02  4.001266e-02  1.523457e+03  1.322210e+05  8.642959e-01  5.857497e-12  4.703682e-02  1.923063e-04  6.163317e-11  3.229013e-07  2.237615e-15  1.227719e-13  8.847463e-02  1.000000e+00  
1.000000e+03  3.875000e-01  1.173381e+02  3.901706e-02  1.474771e+03  1.131449e+05  8.769471e-01  3.555387e-12  4.265956e-02  1.521527e-04  2.947221e-11  1.937211e-07  1.355391e-15  7.788911e-14  8.024097e-02  1.000000e+00  
1.000000e+03  4.125000e-01  1.212520e+02  3.820341e-02  1.426244e+03  9.669401e+04  8.882512e-01  2.322381e-12  3.874678e-02  1.208523e-04  1.413590e-11  1.157652e-07  9.043394e-16  5.093721e-14  7.288107e-02  1.000000e+00  
1.000000e+03  4.375000e-01  1.242154e+02  3.755213e-02  1.377851e+03  8.247209e+04  8.984125e-01  1.623992e-12  3.522830e-02  9.623107e-05  6.767493e-12  6.867852e-08  6.568977e-16  3.429503e-14  6.626289e-02  1.000000e+00  
1.000000e+03  4.625000e-01  1.262043e+02  3.704845e-02  1.329572e+03  7.015719e+04  9.075961e-01  1.205869e-12  3.204741e-02  7.671476e-05  3.218489e-12  4.031266e-08  5.132110e-16  2.379468e-14  6.027973e-02  1.000000e+00  
1.000000e+03  4.875000e-01  1.272027e+02  3.668150e-02  1.281387e+03  5.948469e+04  9.159367e-01  9.412758e-13  2.915775e-02  6.114665e-05  1.513258e-12  2.333058e-08  4.263334e-16  1.708153e-14  5.484439e-02  1.000000e+00  
1.000000e+03  5.125000e-01  1.272027e+02  3.644368e-02  1.233280e+03  5.023476e+04  9.235453e-01  7.642832e-13  2.652110e-02  4.866537e-05  6.999439e-13  1.326386e-08  3.725394e-16  1.276317e-14  4.988495e-02  1.000000e+00  
1.000000e+03  5.375000e-01  1.262043e+02  3.633023e-02  1.185238e+03  4.222295e+04  9.305142e-01  6.392183e-13  2.410562e-02  3.862115e-05  3.168331e-13  7.378001e-09  3.389704e-16  9.962011e-15  4.534153e-02  1.000000e+00  
1.000000e+03  5.625000e-01  1.242154e+02  3.633898e-02  1.137247e+03  3.529310e+04  9.369210e-01  5.460937e-13  2.188461e-02  3.051797e-05  1.395566e-13  3.997700e-09  3.182646e-16  8.100831e-15  4.116392e-02  1.000000e+00  
1.000000e+03  5.875000e-01  1.212520e+02  3.647026e-02  1.089299e+03  2.931181e+04  9.428309e-01  4.733672e-13  1.983550e-02  2.397295e-05  5.944118e-14  2.099512e-09  3.060906e-16  6.805905e-15  3.730963e-02  1.000000e+00  
1.000000e+03  6.125000e-01  1.173381e+02  3.672689e-02  1.041385e+03  2.416428e+04  9.482997e-01  4.141932e-13  1.793908e-02  1.868749e-05  2.430763e-14  1.062618e-09  2.998989e-16  5.848613e-15  3.374255e-02  1.000000e+00  
1.000000e+03  6.375000e-01  1.125066e+02  3.711431e-02  9.934966e+02  1.975087e+04  9.533749e-01  3.644077e-13  1.617890e-02  1.442644e-05  9.465359e-15  5.148572e-10  2.982223e-16  5.096845e-15  3.043173e-02  1.000000e+00  
1.000000e+03  6.625000e-01  1.067997e+02  3.764091e-02  9.456288e+02  1.598456e+04  9.580977e-01  3.214084e-13  1.454078e-02  1.100292e-05  3.475953e-15  2.369290e-10  3.002637e-16  4.476267e-15  2.735051e-02  1.000000e+00  
1.000000e+03  6.875000e-01  1.002695e+02  3.831846e-02  8.977765e+02  1.278878e+04  9.625035e-01  2.835167e-13  1.301246e-02  8.267124e-06  1.190033e-15  1.025787e-10  3.056547e-16  3.944386e-15  2.447582e-02  1.000000e+00  
1.000000e+03  7.125000e-01  9.297924e+01  3.916279e-02  8.499358e+02  1.009577e+04  9.666231e-01  2.496084e-13  1.158326e-02  6.097861e-06  3.745700e-16  4.130277e-11  3.143012e-16  3.475686e-15  2.178756e-02  1.000000e+00  
1.000000e+03  7.375000e-01  8.500451e+01  4.019478e-02  8.021034e+02  7.845198e+03  9.704836e-01  2.188978e-13  1.024383e-02  4.396226e-06  1.065524e-16  1.524594e-11  3.261903e-16  3.053943e-15  1.926816e-02  1.000000e+00  
1.000000e+03  7.625000e-01  7.643520e+01  4.144175e-02  7.542769e+02  5.983049e+03  9.741087e-01  1.908120e-13  8.985985e-03  3.080678e-06  2.682235e-17  5.066873e-12  3.409202e-16  2.668381e-15  1.690221e-02  1.000000e+00  
1.000000e+03  7.875000e-01  6.737785e+01  4.293947e-02  7.064544e+02  4.460723e+03  9.775193e-01  1.649172e-13  7.802483e-03  2.083224e-06  5.823412e-18  1.481472e-12  3.566677e-16  2.311661e-15  1.467610e-02  1.000000e+00  
1.000000e+03  8.125000e-01  5.795896e+01  4.473502e-02  6.586343e+02  3.234299e+03  9.807339e-01  1.408764e-13  6.686924e-03  1.346408e-06  1.058648e-18  3.697496e-13  3.688377e-16  1.978724e-15  1.257779e-02  1.000000e+00  
1.000000e+03  8.375000e-01  4.832967e+01  4.689116e-02  6.108158e+02  2.263930e+03  9.837690e-01  1.184233e-13  5.633622e-03  8.209114e-07  1.568952e-19  7.566743e-14  3.698442e-16  1.666041e-15  1.059657e-02  1.000000e+00  
1.000000e+03  8.625000e-01  3.867251e+01  4.949278e-02  5.629979e+02  1.513361e+03  9.866391e-01  9.734693e-14  4.637506e-03  4.636555e-07  1.906915e-20  1.201807e-14  3.517673e-16  1.371099e-15  8.722927e-03  1.000000e+00  
1.000000e+03  8.875000e-01  2.921175e+01  5.265711e-02  5.151803e+02  9.495599e+02  9.893574e-01  7.747891e-14  3.694042e-03  2.363705e-07  2.159236e-21  1.371580e-15  3.110424e-16  1.092055e-15  6.948318e-03  1.000000e+00  
1.000000e+03  9.125000e-01  2.023032e+01  5.655008e-02  4.673626e+02  5.424835e+02  9.919356e-01  5.868511e-14  2.799165e-03  1.047036e-07  3.153189e-22  1.006729e-16  2.511259e-16  8.274818e-16  5.265095e-03  1.000000e+00  
1.000000e+03  9.375000e-01  1.210040e+01  6.141407e-02  4.195449e+02  2.650728e+02  9.943844e-01  4.085851e-14  1.949214e-03  3.805733e-08  8.092855e-23  4.050218e-18  1.802818e-16  5.762179e-16  3.666378e-03  1.000000e+00  
1.000000e+03  9.625000e-01  5.347937e+00  6.761685e-02  3.717270e+02  9.378032e+01  9.967131e-01  2.391352e-14  1.140889e-03  1.036892e-08  3.402688e-23  7.477685e-20  1.066036e-16  3.372643e-16  2.145958e-03  1.000000e+00  
1.000000e+03  9.875000e-01  8.376776e-01  7.574418e-02  3.239090e+02  1.074164e+01  9.989306e-01  7.780590e-15  3.712065e-04  1.653770e-09  1.029535e-23  8.834843e-22  3.473615e-17  1.097343e-16  6.982218e-04  1.000000e+00  
1.000000e+03  5.100000e+01  0.000000e+00  8.081491e-02  3.000000e+02  0.000000e+00  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.000000e+00  
