int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  8.150000e-03  1.153889e+00  -3.205701e-01  1.208492e+00  3.006736e+02  9.152643e-05  2.099441e-01  1.172527e-04  2.476270e-13  3.879180e-13  4.913271e-08  4.205022e-08  6.804642e-08  7.898470e-01  1.000000e+00  
1.000000e+04  8.250000e-03  1.155484e+00  -3.267179e-01  1.192883e+00  3.002743e+02  6.410998e-05  2.099719e-01  4.901968e-05  8.401599e-14  1.852593e-13  2.408552e-08  1.638809e-08  2.638342e-08  7.899149e-01  1.000000e+00  
1.000000e+04  8.350000e-03  1.156149e+00  -3.330879e-01  1.177810e+00  3.001104e+02  4.465294e-05  2.099849e-01  2.025378e-05  2.835761e-14  8.922142e-14  1.172312e-08  6.313629e-09  1.009894e-08  7.899502e-01  1.000000e+00  
1.000000e+04  8.500000e-03  1.156470e+00  -3.427772e-01  1.156986e+00  3.000335e+02  2.671645e-05  2.099927e-01  6.345243e-06  6.440600e-15  3.383089e-14  4.467585e-09  1.825873e-09  2.894298e-09  7.899742e-01  1.000000e+00  
1.000000e+04  8.700000e-03  1.156585e+00  -3.556866e-01  1.128407e+00  3.000080e+02  1.386801e-05  2.099967e-01  1.574239e-06  1.032442e-15  1.044385e-14  1.379834e-09  4.145394e-10  6.512662e-10  7.899879e-01  1.000000e+00  
1.000000e+04  8.900000e-03  1.156616e+00  -3.685127e-01  1.103239e+00  3.000019e+02  7.084582e-06  2.099984e-01  3.804848e-07  1.592179e-16  3.161796e-15  4.164795e-10  9.150469e-11  1.426131e-10  7.899941e-01  1.000000e+00  
1.000000e+04  9.150000e-03  1.156626e+00  -3.844180e-01  1.073959e+00  3.000004e+02  3.155448e-06  2.099993e-01  7.478678e-08  1.766403e-17  7.933182e-16  1.038247e-10  1.633292e-11  2.525211e-11  7.899974e-01  1.000000e+00  
1.000000e+04  9.400000e-03  1.156629e+00  -4.001767e-01  1.043727e+00  3.000001e+02  1.376016e-06  2.099997e-01  1.423958e-08  1.868220e-18  1.943663e-16  2.513582e-11  2.817849e-12  4.327676e-12  7.899989e-01  1.000000e+00  
1.000000e+04  9.600000e-03  1.156630e+00  -4.126857e-01  1.024720e+00  3.000000e+02  6.664063e-07  2.099999e-01  3.160340e-09  2.526426e-19  5.498676e-17  7.020502e-12  5.685253e-13  8.679647e-13  7.899995e-01  1.000000e+00  
1.000000e+04  9.850000e-03  1.156631e+00  -4.282123e-01  9.997768e-01  3.000000e+02  2.802343e-07  2.099999e-01  5.701202e-10  2.444082e-20  1.284248e-17  1.616385e-12  9.276347e-14  1.408633e-13  7.899998e-01  1.000000e+00  
1.000000e+04  1.025000e-02  1.156631e+00  -4.528111e-01  9.637252e-01  3.000000e+02  8.428133e-08  2.100000e-01  6.570604e-11  1.104947e-21  1.962783e-18  2.430751e-13  9.592929e-15  1.455829e-14  7.899999e-01  1.000000e+00  
1.000000e+04  1.075000e-02  1.156631e+00  -4.831587e-01  9.195888e-01  3.000000e+02  2.059585e-08  2.100000e-01  5.860412e-12  3.170504e-23  2.341465e-19  2.850914e-14  7.648505e-16  1.186727e-15  7.900000e-01  1.000000e+00  
1.000000e+04  1.140000e-02  1.156631e+00  -5.220410e-01  8.760895e-01  3.000000e+02  3.863235e-09  2.100000e-01  3.862882e-13  5.141690e-25  2.061517e-20  2.466243e-15  4.486139e-17  8.216038e-17  7.900000e-01  1.000000e+00  
1.000000e+04  1.215000e-02  1.156631e+00  -5.661618e-01  8.204683e-01  3.000000e+02  6.028762e-10  2.100000e-01  2.094543e-14  5.660976e-27  1.477822e-21  1.736519e-16  2.157629e-18  5.319013e-18  7.900000e-01  1.000000e+00  
1.000000e+04  1.275000e-02  1.156631e+00  -6.009506e-01  7.914447e-01  3.000000e+02  1.079355e-10  2.100000e-01  1.333991e-15  8.320007e-29  1.232620e-22  1.422947e-17  1.219568e-19  3.933831e-19  7.900000e-01  1.000000e+00  
1.000000e+04  1.325000e-02  1.156631e+00  -6.296508e-01  7.623948e-01  3.000000e+02  2.159077e-11  2.100000e-01  9.832098e-17  1.543475e-30  1.163890e-23  1.320269e-18  7.973875e-21  3.494710e-20  7.900000e-01  1.000000e+00  
1.000000e+04  1.375000e-02  1.156631e+00  -6.580945e-01  7.401169e-01  3.000000e+02  4.171712e-12  2.100000e-01  7.140946e-18  2.659343e-32  1.056218e-24  1.177233e-19  5.128680e-22  3.093693e-21  7.900000e-01  1.000000e+00  
1.000000e+04  1.425000e-02  1.156631e+00  -6.863041e-01  7.156045e-01  3.000000e+02  7.796950e-13  2.100000e-01  5.153578e-19  4.244766e-34  9.228988e-26  1.010632e-20  3.274104e-23  2.681586e-22  7.900000e-01  1.000000e+00  
1.000000e+04  1.475000e-02  1.156631e+00  -7.142918e-01  6.957163e-01  3.000000e+02  1.411486e-13  2.100000e-01  3.718865e-20  5.536446e-36  7.777704e-27  8.367480e-22  2.089607e-24  2.248251e-23  7.900000e-01  1.000000e+00  
1.000000e+04  1.525000e-02  1.156631e+00  -7.420744e-01  6.745786e-01  3.000000e+02  2.478035e-14  2.100000e-01  2.691040e-21  1.103409e-37  6.331821e-28  6.691984e-23  1.338649e-25  1.811103e-24  7.900000e-01  1.000000e+00  
1.000000e+04  1.575000e-02  1.156631e+00  -7.696620e-01  6.567252e-01  3.000000e+02  4.224092e-15  2.100000e-01  1.955210e-22  1.361777e-39  4.986942e-29  5.177574e-24  8.624932e-27  1.402402e-25  7.900000e-01  1.000000e+00  
1.000000e+04  1.625000e-02  1.156631e+00  -7.970676e-01  6.381909e-01  3.000000e+02  7.000079e-16  2.100000e-01  1.454763e-23  6.574877e-40  3.805947e-30  3.881606e-25  5.702786e-28  1.077876e-26  7.900000e-01  1.000000e+00  
1.000000e+04  1.700000e-02  1.156631e+00  -8.378763e-01  6.167580e-01  3.000000e+02  7.853114e-17  2.100000e-01  1.082878e-24  4.383914e-41  1.903115e-31  1.906187e-26  3.859816e-29  8.925899e-28  7.900000e-01  1.000000e+00  
1.000000e+04  1.775000e-02  1.156631e+00  -8.782875e-01  5.851863e-01  3.000000e+02  8.443244e-18  2.100000e-01  5.138237e-26  8.733204e-43  9.089517e-33  8.939903e-28  1.639598e-30  3.938816e-29  7.900000e-01  1.000000e+00  
1.000000e+04  1.825000e-02  1.156631e+00  -9.050500e-01  5.810892e-01  3.000000e+02  1.260736e-18  2.100000e-01  3.474118e-27  4.642429e-43  6.194600e-34  5.985548e-29  9.959951e-32  2.448985e-30  7.900000e-01  1.000000e+00  
1.000000e+04  1.875000e-02  1.156631e+00  -9.316794e-01  5.585760e-01  3.000000e+02  1.838278e-19  2.100000e-01  2.279475e-28  5.949093e-45  4.117274e-35  3.908743e-30  5.875475e-33  1.464105e-31  7.900000e-01  1.000000e+00  
1.000000e+04  1.925000e-02  1.156631e+00  -9.581684e-01  5.530196e-01  3.000000e+02  2.620169e-20  2.100000e-01  1.448012e-29  1.252514e-47  2.672511e-36  2.493075e-31  3.357005e-34  8.420158e-33  7.900000e-01  1.000000e+00  
1.000000e+04  1.975000e-02  1.156631e+00  -9.845345e-01  5.339766e-01  3.000000e+02  3.660619e-21  2.100000e-01  8.764716e-31  5.268978e-50  1.696985e-37  1.555674e-32  1.829047e-35  4.595402e-34  7.900000e-01  1.000000e+00  
1.000000e+04  2.000000e-02  1.156631e+00  -1.000000e+00  1.000000e+00  3.000000e+02  0.000000e+00  2.100000e-01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  7.900000e-01  1.000000e+00  
