x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
6.609613e-05  1.835294e-02  2.925963e+00  5.370000e-02  2.258953e-05  1.500000e+03  2.799966e-01  8.999855e-02  2.136868e-06  2.128965e-06  1.915311e-07  1.934315e-07  1.842845e-07  1.815391e-10  6.300000e-01  1.000000e+00  
7.477282e-05  1.835294e-02  2.925963e+00  5.370000e-02  2.555495e-05  1.500000e+03  2.799958e-01  8.999823e-02  2.654883e-06  2.621578e-06  2.407593e-07  2.240582e-07  2.086793e-07  2.264002e-10  6.300000e-01  1.000000e+00  
8.344951e-05  1.835294e-02  2.925963e+00  5.370000e-02  2.852036e-05  1.500000e+03  2.799949e-01  8.999786e-02  3.254608e-06  3.188173e-06  2.974205e-07  2.592858e-07  2.331398e-07  2.749196e-10  6.300000e-01  1.000000e+00  
9.212620e-05  1.835294e-02  2.925962e+00  5.370000e-02  3.148578e-05  1.500000e+03  2.799939e-01  8.999744e-02  3.948397e-06  3.839940e-06  3.626179e-07  2.998566e-07  2.576729e-07  3.268063e-10  6.300000e-01  1.000000e+00  
1.008029e-04  1.835294e-02  2.925962e+00  5.370000e-02  3.445119e-05  1.500000e+03  2.799926e-01  8.999695e-02  4.750317e-06  4.589848e-06  4.376302e-07  3.464454e-07  2.822857e-07  3.817967e-10  6.300000e-01  1.000000e+00  
1.094796e-04  1.835294e-02  2.925962e+00  5.370000e-02  3.741661e-05  1.500000e+03  2.799912e-01  8.999639e-02  5.676576e-06  5.452598e-06  5.239321e-07  4.000456e-07  3.069856e-07  4.396522e-10  6.300000e-01  1.000000e+00  
1.181563e-04  1.835294e-02  2.925962e+00  5.370000e-02  4.038202e-05  1.500000e+03  2.799896e-01  8.999575e-02  6.745892e-06  6.445135e-06  6.232203e-07  4.617384e-07  3.317803e-07  5.001572e-10  6.300000e-01  1.000000e+00  
1.268330e-04  1.835294e-02  2.925962e+00  5.370000e-02  4.334744e-05  1.500000e+03  2.799878e-01  8.999502e-02  7.979832e-06  7.586997e-06  7.374470e-07  5.327319e-07  3.566775e-07  5.631172e-10  6.300000e-01  1.000000e+00  
1.355097e-04  1.835294e-02  2.925962e+00  5.370000e-02  4.631285e-05  1.500000e+03  2.799857e-01  8.999417e-02  9.403200e-06  8.900667e-06  8.688593e-07  6.144151e-07  3.816847e-07  6.283567e-10  6.300000e-01  1.000000e+00  
1.441864e-04  1.835294e-02  2.925962e+00  5.370000e-02  4.927826e-05  1.500000e+03  2.799832e-01  8.999320e-02  1.104452e-05  1.041200e-05  1.020043e-06  7.083943e-07  4.068091e-07  6.957180e-10  6.300000e-01  1.000000e+00  
1.528630e-04  1.835294e-02  2.925962e+00  5.370000e-02  5.224368e-05  1.500000e+03  2.799804e-01  8.999209e-02  1.293658e-05  1.215072e-05  1.193973e-06  8.165209e-07  4.320573e-07  7.650591e-10  6.300000e-01  1.000000e+00  
1.581667e-04  1.835294e-02  2.925962e+00  5.370000e-02  5.405629e-05  1.500000e+03  2.799784e-01  8.999133e-02  1.423216e-05  1.333941e-05  1.312888e-06  8.905782e-07  4.475539e-07  8.083623e-10  6.300000e-01  1.000000e+00  
1.634703e-04  1.835294e-02  2.925962e+00  5.370000e-02  5.586891e-05  1.500000e+03  2.799763e-01  8.999051e-02  1.564497e-05  1.463431e-05  1.442422e-06  9.712123e-07  4.631001e-07  8.523302e-10  6.300000e-01  1.000000e+00  
1.687740e-04  1.835294e-02  2.925962e+00  5.370000e-02  5.768152e-05  1.500000e+03  2.799740e-01  8.998961e-02  1.718557e-05  1.604503e-05  1.583535e-06  1.059003e-06  4.786964e-07  8.969380e-10  6.300000e-01  1.000000e+00  
1.740776e-04  1.835294e-02  2.925962e+00  5.370000e-02  5.949414e-05  1.500000e+03  2.799715e-01  8.998863e-02  1.886535e-05  1.758192e-05  1.737267e-06  1.154619e-06  4.943434e-07  9.421621e-10  6.300000e-01  1.000000e+00  
1.793813e-04  1.835294e-02  2.925962e+00  5.370000e-02  6.130675e-05  1.500000e+03  2.799688e-01  8.998756e-02  2.069673e-05  1.925622e-05  1.904746e-06  1.258784e-06  5.100410e-07  9.879802e-10  6.300000e-01  1.000000e+00  
1.846849e-04  1.835294e-02  2.925962e+00  5.370000e-02  6.311937e-05  1.500000e+03  2.799658e-01  8.998640e-02  2.269324e-05  2.108021e-05  2.087199e-06  1.372271e-06  5.257891e-07  1.034371e-09  6.300000e-01  1.000000e+00  
1.899885e-04  1.835294e-02  2.925962e+00  5.370000e-02  6.493198e-05  1.500000e+03  2.799626e-01  8.998513e-02  2.486966e-05  2.306726e-05  2.285964e-06  1.495913e-06  5.415868e-07  1.081314e-09  6.300000e-01  1.000000e+00  
1.952922e-04  1.835294e-02  2.925962e+00  5.370000e-02  6.674460e-05  1.500000e+03  2.799591e-01  8.998375e-02  2.724208e-05  2.523196e-05  2.502498e-06  1.630617e-06  5.574326e-07  1.128791e-09  6.300000e-01  1.000000e+00  
2.005958e-04  1.835294e-02  2.925962e+00  5.370000e-02  6.855721e-05  1.500000e+03  2.799552e-01  8.998225e-02  2.982802e-05  2.759018e-05  2.738389e-06  1.777370e-06  5.733245e-07  1.176783e-09  6.300000e-01  1.000000e+00  
2.058995e-04  1.835294e-02  2.925962e+00  5.370000e-02  7.036983e-05  1.500000e+03  2.799510e-01  8.998062e-02  3.264659e-05  3.015922e-05  2.995366e-06  1.937249e-06  5.892595e-07  1.225271e-09  6.300000e-01  1.000000e+00  
2.112031e-04  1.835294e-02  2.925962e+00  5.370000e-02  7.218244e-05  1.500000e+03  2.799465e-01  8.997884e-02  3.571861e-05  3.295788e-05  3.275314e-06  2.111475e-06  6.052338e-07  1.274239e-09  6.300000e-01  1.000000e+00  
2.165068e-04  1.835294e-02  2.925962e+00  5.370000e-02  7.399505e-05  1.500000e+03  2.799415e-01  8.997690e-02  3.906672e-05  3.600677e-05  3.580285e-06  2.301226e-06  6.212424e-07  1.323669e-09  6.300000e-01  1.000000e+00  
2.218104e-04  1.835294e-02  2.925962e+00  5.370000e-02  7.580767e-05  1.500000e+03  2.799361e-01  8.997480e-02  4.271556e-05  3.932821e-05  3.912516e-06  2.507933e-06  6.372794e-07  1.373544e-09  6.300000e-01  1.000000e+00  
2.271140e-04  1.835294e-02  2.925962e+00  5.370000e-02  7.762028e-05  1.500000e+03  2.799302e-01  8.997250e-02  4.669200e-05  4.294652e-05  4.274442e-06  2.733137e-06  6.533371e-07  1.423845e-09  6.300000e-01  1.000000e+00  
2.324177e-04  1.835294e-02  2.925962e+00  5.370000e-02  7.943290e-05  1.500000e+03  2.799237e-01  8.997000e-02  5.102534e-05  4.688822e-05  4.668716e-06  2.978494e-06  6.694067e-07  1.474554e-09  6.300000e-01  1.000000e+00  
